醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,2253,1632,2020/03/04 10:27:10
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,676,908,2020/03/04 10:27:10
2101010013,松山健康服務中心,臺北市松山區八德路４段６９４號１、２樓,(02)27653147,231,1849,2020/03/04 10:27:10
2101020019,大安健康服務中心,臺北市大安區辛亥路３段１５號,(02)27390997,72,1468,2020/03/04 10:27:10
2101090011,大同健康服務中心,臺北市大同區昌吉街５２號１至２樓,(02)25948971,0,1164,2020/03/04 10:27:10
2101100227,中山健康服務中心,臺北市中山區松江路３６７號１樓,(02)25013363,100,1519,2020/03/04 10:27:10
2101110027,內湖健康服務中心,臺北市內湖區民權東路６段９９號,(02)27908387,44,899,2020/03/04 10:27:10
2101120014,南港健康服務中心,臺北市南港區南港路１段３６０號１樓,(02)27868756,217,1682,2020/03/04 10:27:10
2101150012,士林健康服務中心,臺北市士林區中正路４３９號１樓,(02)28836268,144,1620,2020/03/04 10:27:10
2101161033,北投健康服務中心,臺北市北投區石牌路２段１１１號,(02)28261026,128,1737,2020/03/04 10:27:10
2101170050,信義健康服務中心,臺北市信義區信義路５段１５號,(02)87804152,40,1708,2020/03/04 10:27:10
2101180038,中正健康服務中心,臺北市中正區牯嶺街２４號,(02)23210168,0,1726,2020/03/04 10:27:10
2101191068,萬華健康服務中心,臺北市萬華區東園街１５２號,(02)23395384,50,1438,2020/03/04 10:27:10
2101200017,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,(02)22343501,53,1659,2020/03/04 10:27:10
2303240013,臺中市中西區衛生所,臺中市西區民權路１０５號,(04)22223811,1106,1166,2020/03/04 10:27:10
2311010010,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,(02)24621632,1137,1903,2020/03/04 10:27:10
2311020016,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,(02)24562008,408,1977,2020/03/04 10:27:10
2311030012,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,(02)24572630,778,1510,2020/03/04 10:27:10
2311040018,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,(02)24311592,668,2194,2020/03/04 10:27:10
2311050014,基隆市中山區衛生所,基隆市中山區中山二路１５號,(02)24229860,576,1442,2020/03/04 10:27:10
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,150,1424,2020/03/04 10:27:10
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,1502,2220,2020/03/04 10:27:10
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,(03)5236158,30,1140,2020/03/04 10:27:10
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,0,880,2020/03/04 10:27:10
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,0,768,2020/03/04 10:27:10
