醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,2247,1632,2020/03/04 10:34:10
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,676,908,2020/03/04 10:34:10
2101010013,松山健康服務中心,臺北市松山區八德路４段６９４號１、２樓,(02)27653147,221,1849,2020/03/04 10:34:10
2101020019,大安健康服務中心,臺北市大安區辛亥路３段１５號,(02)27390997,50,1468,2020/03/04 10:34:10
2101090011,大同健康服務中心,臺北市大同區昌吉街５２號１至２樓,(02)25948971,0,1164,2020/03/04 10:34:10
2101100227,中山健康服務中心,臺北市中山區松江路３６７號１樓,(02)25013363,82,1519,2020/03/04 10:34:10
2101110027,內湖健康服務中心,臺北市內湖區民權東路６段９９號,(02)27908387,36,895,2020/03/04 10:34:10
2101120014,南港健康服務中心,臺北市南港區南港路１段３６０號１樓,(02)27868756,205,1682,2020/03/04 10:34:10
2101150012,士林健康服務中心,臺北市士林區中正路４３９號１樓,(02)28836268,120,1616,2020/03/04 10:34:10
2101161033,北投健康服務中心,臺北市北投區石牌路２段１１１號,(02)28261026,114,1737,2020/03/04 10:34:10
2101170050,信義健康服務中心,臺北市信義區信義路５段１５號,(02)87804152,18,1708,2020/03/04 10:34:10
2101180038,中正健康服務中心,臺北市中正區牯嶺街２４號,(02)23210168,0,1726,2020/03/04 10:34:10
2101191068,萬華健康服務中心,臺北市萬華區東園街１５２號,(02)23395384,48,1438,2020/03/04 10:34:10
2101200017,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,(02)22343501,31,1659,2020/03/04 10:34:10
2303240013,臺中市中西區衛生所,臺中市西區民權路１０５號,(04)22223811,1106,1166,2020/03/04 10:34:10
2311010010,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,(02)24621632,1137,1903,2020/03/04 10:34:10
2311020016,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,(02)24562008,408,1977,2020/03/04 10:34:10
2311030012,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,(02)24572630,778,1510,2020/03/04 10:34:10
2311040018,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,(02)24311592,668,2194,2020/03/04 10:34:10
2311050014,基隆市中山區衛生所,基隆市中山區中山二路１５號,(02)24229860,576,1442,2020/03/04 10:34:10
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,150,1424,2020/03/04 10:34:10
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,1502,2220,2020/03/04 10:34:10
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,(03)5236158,30,1140,2020/03/04 10:34:10
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,400,1080,2020/03/04 10:34:10
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,0,768,2020/03/04 10:34:10
2317020010,臺中市東區衛生所,臺中市東區信義街１４２號,(04)22834121,496,1570,2020/03/04 10:34:10
2317040012,臺中市南區衛生所,臺中市南區工學路７２號２樓,(04)22629735,470,1352,2020/03/04 10:34:10
2317050018,臺中市北區衛生所,臺中市北區永興街３０１號４樓,(04)22359182,1782,1852,2020/03/04 10:34:10
2317060014,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,(04)27027068,1336,1790,2020/03/04 10:34:10
2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,(04)23827640,646,1398,2020/03/04 10:34:10
2317080016,台中市北屯區軍功衛生所,臺中市北屯區軍功路二段１６號,(04)22393932,1566,1812,2020/03/04 10:34:10
2317081022,台中市北屯區四民衛生所,臺中市北屯區后庄路１０６２號,(04)24211945,880,1834,2020/03/04 10:34:10
2321010013,臺南市東區衛生所,臺南市東區龍山里林森路１段４１８號,(06)2673613,1084,1336,2020/03/04 10:34:10
2321020019,臺南市南區衛生所,臺南市南區南都里南和路６號,(06)2618578,1026,1758,2020/03/04 10:34:10
2321030015,臺南市中西區衛生所,臺南市中西區安海里環河街９４號,(06)2252403,1749,1440,2020/03/04 10:34:10
2321040011,臺南巿北區衛生所,臺南市北區公園里西華街５０號,(06)2252404,1910,1565,2020/03/04 10:34:10
2321060013,台南市安南區衛生所,臺南市安南區仁安路７０號２樓,(06)2567406,1165,1652,2020/03/04 10:34:10
2321070019,台南市安平區衛生所,臺南市安平區平通里育平路３１０號,(06)2996885,1221,1656,2020/03/04 10:34:10
