醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,476,195,2020/02/10 07:23:37
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,404,104,2020/02/10 07:23:37
2331170017,新北市林口區衛生所,新北市林口區忠孝二路５５號,(02)26068760,200,50,2020/02/10 07:23:37
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,(02)26656272,6,0,2020/02/10 07:23:37
2331210016,新北市三芝區衛生所,新北市三芝區中山路１段１２號,(02)26362007,200,50,2020/02/10 07:23:37
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,(02)24951015,0,118,2020/02/10 07:23:37
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,(02)24901431,0,12,2020/02/10 07:23:37
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,(03)5932004,0,22,2020/02/10 07:23:37
2333120015,新竹縣峨眉鄉衛生所,新竹縣峨眉鄉峨眉村峨眉街２鄰５號,(03)5800314,0,84,2020/02/10 07:23:37
2333140017,新竹縣五峰鄉衛生所,新竹縣五峰鄉大隘村六鄰９９號,(03)5851005,48,60,2020/02/10 07:23:37
2334110013,宜蘭縣大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽４０號,(03)9801175,4,66,2020/02/10 07:23:37
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路１７號,(037)822024,10,38,2020/02/10 07:23:37
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村１４鄰８－２號,(037)542755,0,12,2020/02/10 07:23:37
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村１３０之６號,(037)931309,0,26,2020/02/10 07:23:37
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村２鄰７２號,(037)941054,228,124,2020/02/10 07:23:37
2336210034,臺中市和平區梨山衛生所,臺中市和平區梨山里中正路６８號,(04)25989540,96,70,2020/02/10 07:23:37
2337160015,彰化縣埔鹽鄉衛生所,彰化縣埔鹽鄉好修村員鹿路二段５８號,(04)8653596,200,50,2020/02/10 07:23:37
2338050018,南投縣集集鎮衛生所,南投縣集集鎮民生路１０６號,(049)2762015,200,50,2020/02/10 07:23:37
2338070010,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段２０號,(049)2752002,0,22,2020/02/10 07:23:37
2338120015,南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路４５號,(049)2791148,0,40,2020/02/10 07:23:37
2341140012,臺南市官田區衛生所,臺南市官田區隆田里中山路一段１２８號,(06)5791493,400,100,2020/02/10 07:23:37
2341250013,台南市南化區衛生所,臺南市南化區南化里２２６－１號,(06)5771139,0,68,2020/02/10 07:23:37
