醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,2341,1676,2020/03/03 17:04:10
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,442,768,2020/03/03 17:04:10
2101010013,松山健康服務中心,台北市松山區八德路４段６９４號１、２樓,(02)27653147,57,1677,2020/03/03 17:04:10
2101020019,大安健康服務中心,台北市大安區辛亥路３段１５號,(02)27390997,16,1308,2020/03/03 17:04:10
2101090011,大同健康服務中心,台北市大同區昌吉街５２號１至２樓,(02)25948971,0,1000,2020/03/03 17:04:10
2101100227,中山健康服務中心,台北市中山區松江路３６７號１樓,(02)25013363,0,1339,2020/03/03 17:04:10
2101110027,內湖健康服務中心,台北市內湖區民權東路６段９９號,(02)27908387,14,735,2020/03/03 17:04:10
2101120014,南港健康服務中心,台北市南港區南港路１段３６０號１樓,(02)27868756,1,1498,2020/03/03 17:04:10
2101150012,士林健康服務中心,台北市士林區中正路４３９號１樓,(02)28836268,0,1440,2020/03/03 17:04:10
2101161033,北投健康服務中心,臺北市北投區石牌路２段１１１號,(02)28261026,1,1566,2020/03/03 17:04:10
2101170050,信義健康服務中心,台北市信義區信義路５段１５號,(02)87804152,0,1556,2020/03/03 17:04:10
2101180038,中正健康服務中心,台北市中正區牯嶺街２４號,(02)23210168,0,1552,2020/03/03 17:04:10
2101191068,萬華健康服務中心,台北市萬華區東園街１５２號,(02)23395384,0,1294,2020/03/03 17:04:10
2101200017,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,(02)22343501,1,1471,2020/03/03 17:04:10
2303240013,臺中市中西區衛生所,臺中市西區民權路１０５號,(04)22223811,1106,1166,2020/03/03 17:04:10
2311010010,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,(02)24621632,1137,1903,2020/03/03 17:04:10
2311020016,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,(02)24562008,408,1977,2020/03/03 17:04:10
2311030012,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,(02)24572630,778,1510,2020/03/03 17:04:10
2311040018,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,(02)24311592,668,2194,2020/03/03 17:04:10
2311050014,基隆市中山區衛生所,基隆市中山區中山二路１５號,(02)24229860,576,1442,2020/03/03 17:04:10
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,150,1424,2020/03/03 17:04:10
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,1502,2220,2020/03/03 17:04:10
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,(03)5236158,30,1140,2020/03/03 17:04:10
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,0,880,2020/03/03 17:04:10
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,0,768,2020/03/03 17:04:10
2317020010,臺中市東區衛生所,臺中市東區信義街１４２號,(04)22834121,496,1570,2020/03/03 17:04:10
2317040012,臺中市南區衛生所,台中市南區工學路７２號２樓,(04)22629735,470,1352,2020/03/03 17:04:10
2317050018,臺中市北區衛生所,臺中市北區永興街３０１號４樓,(04)22359182,1782,1852,2020/03/03 17:04:10
2317060014,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,(04)27027068,1336,1790,2020/03/03 17:04:10
2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,(04)23827640,646,1398,2020/03/03 17:04:10
2317080016,台中市北屯區軍功衛生所,台中市北屯區軍功路二段１６號,(04)22393932,1566,1812,2020/03/03 17:04:10
2317081022,台中市北屯區四民衛生所,台中市北屯區后庄路１０６２號,(04)24211945,880,1834,2020/03/03 17:04:10
2321010013,臺南市東區衛生所,台南市東區龍山里林森路１段４１８號,(06)2673613,1112,1340,2020/03/03 17:04:10
2321020019,臺南市南區衛生所,臺南市南區南都里南和路６號,(06)2618578,1090,1758,2020/03/03 17:04:10
2321030015,臺南市中西區衛生所,臺南市中西區安海里環河街９４號,(06)2252403,1785,1448,2020/03/03 17:04:10
2321040011,臺南巿北區衛生所,臺南市北區公園里西華街５０號,(06)2252404,1978,1569,2020/03/03 17:04:10
2321060013,台南市安南區衛生所,台南市安南區仁安路７０號２樓,(06)2567406,1237,1660,2020/03/03 17:04:10
2321070019,台南市安平區衛生所,台南市安平區平通里育平路３１０號,(06)2996885,1353,1668,2020/03/03 17:04:10
2322010017,嘉義市東區衛生所,嘉義市東區大雅路二段６２５號,(05)2750423,1707,1552,2020/03/03 17:04:10
2322020013,嘉義市西區衛生所,嘉義市西區福全里德明路１號,(05)2337355,1690,1744,2020/03/03 17:04:10
2331070012,新北市樹林區衛生所,新北市樹林區樹新路４０－７號１、２樓,(02)26812134,5,1241,2020/03/03 17:04:10
2331080018,新北市鶯歌區衛生所,新北市鶯歌區文化路３８９號,(02)26702304,23,1290,2020/03/03 17:04:10
2331090014,新北市三峽區衛生所,新北市三峽區光明路７１號３樓,(02)26711592,290,1816,2020/03/03 17:04:10
2331100015,新北市淡水區衛生所,新北市淡水區中山路１５８號,(02)26215620,90,1613,2020/03/03 17:04:10
2331120017,新北巿瑞芳區衛生所,新北市瑞芳區明燈路３段１號,(02)24972132,0,1432,2020/03/03 17:04:10
2331160011,新北市泰山區衛生所,新北市泰山區全興路２１２號３樓,(02)22962858,14,892,2020/03/03 17:04:10
2331170017,新北市林口區衛生所,新北市林口區忠孝二路５５號,(02)26068760,194,1096,2020/03/03 17:04:10
2331180013,新北市深坑區衛生所,新北市深坑區深坑街１６５號１－３樓,(02)26621567,10,1682,2020/03/03 17:04:10
2331190019,新北市石碇區衛生所,新北市石碇區潭邊里碇坪路１段８２號,(02)26631325,0,1612,2020/03/03 17:04:10
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,(02)26656272,0,677,2020/03/03 17:04:10
2331210016,新北市三芝區衛生所,新北市三芝區中山路１段１２號,(02)26362007,0,1129,2020/03/03 17:04:10
2331220012,新北市石門區衛生所,新北市石門區中山路２８－１號,(02)26381007,118,1762,2020/03/03 17:04:10
2331230018,新北市八里區衛生所,新北市八里區舊城路１６號,(02)26102137,0,1340,2020/03/03 17:04:10
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,(02)24951015,600,2284,2020/03/03 17:04:10
2331250010,新北市雙溪區衛生所,新北市雙溪區新基南路１８號,(02)24931211,1438,2068,2020/03/03 17:04:10
